Question,Answer,Option 1,Option 2,Option 3,Option 4
What&#039;s the name of the main protagonist in the &quot;Legend of Zelda&quot; franchise?,Link,Mario, Zelda, Pit, Link
Peter Molyneux was the founder of Bullfrog Productions.,TRUE,False, True,,
Which game did &quot;Sonic The Hedgehog&quot; make his first appearance in?,Rad Mobile,Sonic The Hedgehog, Super Mario 64, Mega Man, Rad Mobile
"Which popular First Person Shooter (FPS) franchise, got a Real Time Strategy (RTS) game developed based on its universe?",Halo,Battlefield, Call of Duty, Borderlands, Halo
"Which popular First Person Shooter (FPS) franchise, got a Real Time Strategy (RTS) game developed based on its universe?",Halo,Battlefield, Call of Duty, Borderlands, Halo
"League of Legends, DOTA 2, Smite and Heroes of the Storm are all part of which game genre?",Multiplayer Online Battle Arena (MOBA),Real Time Strategy (RTS), First Person Shooter (FPS), Role Playing Game (RPG), Multiplayer Online Battle Arena (MOBA)
What&#039;s the name of the main protagonist in the &quot;Legend of Zelda&quot; franchise?,Link,Mario, Zelda, Pit, Link
"In the Nintendo DS game &#039;Ghost Trick: Phantom Detective&#039;, what is the name of the hitman seen at the start of the game?",Nearsighted Jeego,One Step Ahead Tengo, Missile, Cabanela, Nearsighted Jeego
How many games in the Crash Bandicoot series were released on the original Playstation?,5,4, 3, 6, 5
What year was the game Team Fortress 2 released?,2007,2009, 2005, 2010, 2007
What year was the game Team Fortress 2 released?,2007,2009, 2005, 2010, 2007
Which game did &quot;Sonic The Hedgehog&quot; make his first appearance in?,Rad Mobile,Sonic The Hedgehog, Super Mario 64, Mega Man, Rad Mobile
"What is the name of &quot;Team Fortress 2&quot; update, in which it became Free-to-play?",&Uuml;ber Update,Pyromania Update, Mann-Conomy Update, Engineer Update, &Uuml;ber Update
"In the Nintendo DS game &#039;Ghost Trick: Phantom Detective&#039;, what is the name of the hitman seen at the start of the game?",Nearsighted Jeego,One Step Ahead Tengo, Missile, Cabanela, Nearsighted Jeego
Which Greek letter represents the &quot;Half-Life&quot; logo?,Lambda,Omega, Alpha, Sigma, Lambda
What&#039;s the name of the main protagonist in the &quot;Legend of Zelda&quot; franchise?,Link,Mario, Zelda, Pit, Link
"League of Legends, DOTA 2, Smite and Heroes of the Storm are all part of which game genre?",Multiplayer Online Battle Arena (MOBA),Real Time Strategy (RTS), First Person Shooter (FPS), Role Playing Game (RPG), Multiplayer Online Battle Arena (MOBA)
Who created the digital distribution platform Steam?,Valve,Pixeltail Games, Ubisoft, Electronic Arts, Valve
Which game did &quot;Sonic The Hedgehog&quot; make his first appearance in?,Rad Mobile,Sonic The Hedgehog, Super Mario 64, Mega Man, Rad Mobile
What&#039;s the name of the main protagonist in the &quot;Legend of Zelda&quot; franchise?,Link,Mario, Zelda, Pit, Link
In which series of games do you collect souls to empower you and buy weaponry and armor with?,Souls ,Final Fantasy , Monster Hunter, The Legend of Zelda, Souls 
Which game did &quot;Sonic The Hedgehog&quot; make his first appearance in?,Rad Mobile,Sonic The Hedgehog, Super Mario 64, Mega Man, Rad Mobile
How many games in the Crash Bandicoot series were released on the original Playstation?,5,4, 3, 6, 5
The Mann Co. Store from Team Fortress 2 has the slogan &quot;We hire mercenaries and get in fights&quot;.,FALSE,True, False,,
Who&#039;s the voice actor for Thrall in the Warcraft game series?,Chris Metzen,Ben Affleck, Jason Derulo, Jim Carrey, Chris Metzen
How many games in the Crash Bandicoot series were released on the original Playstation?,5,4, 3, 6, 5
"Which popular First Person Shooter (FPS) franchise, got a Real Time Strategy (RTS) game developed based on its universe?",Halo,Battlefield, Call of Duty, Borderlands, Halo
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which of the following bones is not in the leg?,Radius,Patella, Tibia, Fibula , Radius
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which of the following bones is not in the leg?,Radius,Patella, Tibia, Fibula , Radius
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which of these bones is hardest to break?,Femur,Cranium, Humerus, Tibia, Femur
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which of the following bones is not in the leg?,Radius,Patella, Tibia, Fibula , Radius
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which of the following bones is not in the leg?,Radius,Patella, Tibia, Fibula , Radius
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which of the following bones is not in the leg?,Radius,Patella, Tibia, Fibula , Radius
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Igneous rocks are formed by excessive heat and pressure.,FALSE,True, False,,
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which of the following bones is not in the leg?,Radius,Patella, Tibia, Fibula , Radius
Which of the following bones is not in the leg?,Radius,Patella, Tibia, Fibula , Radius
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10, Apollo 9, Apollo 13, Apollo 11
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
The body of the Egyptian Sphinx was based on which animal?,Lion,Bull, Horse, Dog, Lion
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
The body of the Egyptian Sphinx was based on which animal?,Lion,Bull, Horse, Dog, Lion
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
What country is the second largest in the world by area?,Canada,Russia, China, United States of America, Canada
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
What is the capital of the American state of Arizona?,Phoenix,Montgomery, Tallahassee, Raleigh, Phoenix
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
What is the capital of the American state of Arizona?,Phoenix,Montgomery, Tallahassee, Raleigh, Phoenix
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
What is the capital of the American state of Arizona?,Phoenix,Montgomery, Tallahassee, Raleigh, Phoenix
The body of the Egyptian Sphinx was based on which animal?,Lion,Bull, Horse, Dog, Lion
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
What is the capital of the American state of Arizona?,Phoenix,Montgomery, Tallahassee, Raleigh, Phoenix
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
What is the capital of the American state of Arizona?,Phoenix,Montgomery, Tallahassee, Raleigh, Phoenix
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
What state is the largest state of the United States of America?,Alaska,California, Texas, Washington, Alaska
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
What is the capital of the American state of Arizona?,Phoenix,Montgomery, Tallahassee, Raleigh, Phoenix
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
What is the capital of the American state of Arizona?,Phoenix,Montgomery, Tallahassee, Raleigh, Phoenix
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
What is the capital of the American state of Arizona?,Phoenix,Montgomery, Tallahassee, Raleigh, Phoenix
Which city is the capital of the United States of America?,Washington D.C,Seattle, Albany, Los Angeles, Washington D.C
King Henry VIII was the second monarch of which European royal house?,Tudor,York, Stuart, Lancaster, Tudor
Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Gold, Juno, Sword, Silver
Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Gold, Juno, Sword, Silver
Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Gold, Juno, Sword, Silver
Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Gold, Juno, Sword, Silver
Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Gold, Juno, Sword, Silver
What was William Frederick Cody better known as?,Buffalo Bill,Billy the Kid, Wild Bill Hickok, Pawnee Bill, Buffalo Bill
Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Gold, Juno, Sword, Silver
Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Gold, Juno, Sword, Silver
Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Gold, Juno, Sword, Silver
Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Gold, Juno, Sword, Silver
Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Gold, Juno, Sword, Silver
Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Gold, Juno, Sword, Silver
Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Gold, Juno, Sword, Silver
King Henry VIII was the second monarch of which European royal house?,Tudor,York, Stuart, Lancaster, Tudor
Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Gold, Juno, Sword, Silver
King Henry VIII was the second monarch of which European royal house?,Tudor,York, Stuart, Lancaster, Tudor
Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Gold, Juno, Sword, Silver
Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Gold, Juno, Sword, Silver
Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Gold, Juno, Sword, Silver
King Henry VIII was the second monarch of which European royal house?,Tudor,York, Stuart, Lancaster, Tudor
Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Gold, Juno, Sword, Silver
Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Gold, Juno, Sword, Silver
What was William Frederick Cody better known as?,Buffalo Bill,Billy the Kid, Wild Bill Hickok, Pawnee Bill, Buffalo Bill
Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Gold, Juno, Sword, Silver
Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Gold, Juno, Sword, Silver
Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Gold, Juno, Sword, Silver
Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Gold, Juno, Sword, Silver
King Henry VIII was the second monarch of which European royal house?,Tudor,York, Stuart, Lancaster, Tudor
Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Gold, Juno, Sword, Silver
Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Gold, Juno, Sword, Silver
King Henry VIII was the second monarch of which European royal house?,Tudor,York, Stuart, Lancaster, Tudor
King Henry VIII was the second monarch of which European royal house?,Tudor,York, Stuart, Lancaster, Tudor
Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Gold, Juno, Sword, Silver
King Henry VIII was the second monarch of which European royal house?,Tudor,York, Stuart, Lancaster, Tudor
Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Gold, Juno, Sword, Silver
King Henry VIII was the second monarch of which European royal house?,Tudor,York, Stuart, Lancaster, Tudor
Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Gold, Juno, Sword, Silver
Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Gold, Juno, Sword, Silver
Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Gold, Juno, Sword, Silver
Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Gold, Juno, Sword, Silver
King Henry VIII was the second monarch of which European royal house?,Tudor,York, Stuart, Lancaster, Tudor
Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Gold, Juno, Sword, Silver
Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Gold, Juno, Sword, Silver
Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Gold, Juno, Sword, Silver
What was William Frederick Cody better known as?,Buffalo Bill,Billy the Kid, Wild Bill Hickok, Pawnee Bill, Buffalo Bill
King Henry VIII was the second monarch of which European royal house?,Tudor,York, Stuart, Lancaster, Tudor
What was William Frederick Cody better known as?,Buffalo Bill,Billy the Kid, Wild Bill Hickok, Pawnee Bill, Buffalo Bill
Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Gold, Juno, Sword, Silver
King Henry VIII was the second monarch of which European royal house?,Tudor,York, Stuart, Lancaster, Tudor
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
Clefairy was intended to be Ash&#039;s starting Pok&eacute;mon in the pilot episode of the cartoon.,TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
Clefairy was intended to be Ash&#039;s starting Pok&eacute;mon in the pilot episode of the cartoon.,TRUE,False, True,,
Clefairy was intended to be Ash&#039;s starting Pok&eacute;mon in the pilot episode of the cartoon.,TRUE,False, True,,
Clefairy was intended to be Ash&#039;s starting Pok&eacute;mon in the pilot episode of the cartoon.,TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
Clefairy was intended to be Ash&#039;s starting Pok&eacute;mon in the pilot episode of the cartoon.,TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
"In the 1988 film &quot;Akira&quot;, Tetsuo ends up destroying Tokyo.",TRUE,False, True,,
